"nationality","count","age","overall","potential","pac","sho","pas","dri","def","phy","longitude","latitude"
"Philippines","3","25.6667","62.0000","65.6667","70.3333","42.0000","53.6667","63.6667","54.0000","60.6667","122","13"
"Poland","338","25.1982","64.0976","68.9349","66.0562","52.5799","56.2899","60.8757","48.1243","64.5533","20","52"
"Portugal","360","25.2056","70.3944","74.8611","69.5167","56.8750","61.4028","67.5472","52.1833","65.9889","-8","39.5"
"Puerto Rico","2","34.5000","65.5000","65.5000","61.0000","50.0000","58.0000","59.0000","58.5000","65.5000","-66.5","18.25"
"Qatar","6","21.6667","64.5000","71.6667","68.1667","50.5000","55.5000","60.8333","48.0000","59.8333","51.25","25.5"
"Republic of Ireland","418","24.6507","60.1459","65.7321","62.3900","48.7608","52.8254","56.4569","47.0598","61.5933","-8.24389","53.4129"
"Republic of the Congo","20","24.6500","65.7000","70.6500","66.3500","52.6000","52.1000","59.7500","47.4000","65.1500","15","-1"
"Romania","60","26.5833","68.4667","71.5833","69.8667","58.2000","61.4167","64.7167","52.3167","66.5833","25","46"
"Russia","306","25.2386","66.4935","71.4510","67.0980","56.0098","59.0817","63.3889","51.0948","63.1471","100","60"
"Saint Kitts and Nevis","3","26.6667","64.6667","67.6667","73.0000","60.3333","58.6667","66.0000","43.3333","63.0000","-62.75","17.3333"
"Saint Lucia","1","23.0000","62.0000","67.0000","80.0000","34.0000","48.0000","51.0000","61.0000","72.0000","-60.9667","13.8833"
"San Marino","1","22.0000","54.0000","62.0000","55.0000","54.0000","53.0000","54.0000","28.0000","50.0000","12.4167","43.7667"
"Saudi Arabia","327","25.2110","61.3333","65.6300","67.0642","47.9052","52.3976","58.1040","46.8043","62.4495","45","25"
"Scotland","301","24.4219","62.9834","69.5415","67.2658","50.2359","54.9701","60.3522","47.4784","63.8007","-4.20265","56.4907"
"Senegal","126","25.0952","68.3492","72.7698","71.5238","53.4365","55.4683","62.7143","52.1349","69.8095","-14","14"
"Serbia","133","25.4436","70.3684","74.2857","65.0451","56.1053","60.2105","63.7218","53.6842","69.0376","21","44"
"Sierra Leone","9","24.4444","65.6667","70.7778","80.2222","56.6667","52.8889","65.3333","35.2222","70.6667","-11.5","8.5"
"Slovakia","64","25.6250","66.7813","71.1406","66.2656","53.6406","58.3125","62.4531","49.7188","65.7500","19.5","48.6667"
"Slovenia","66","26.4242","68.1970","71.2273","66.2273","54.2879","57.8030","62.6212","50.5606","67.1061","14.8167","46.1167"
"Somalia","1","28.0000","68.0000","68.0000","76.0000","66.0000","61.0000","70.0000","42.0000","63.0000","49","10"
"South Africa","80","26.1250","67.7125","70.9000","73.3500","55.2375","59.6375","66.1875","48.6375","59.7250","24","-29"
"South Korea","331","25.8671","64.6254","68.3535","66.8127","51.2900","56.4743","59.9728","50.2054","64.8822","127.5","37"
